date,value,series_id,is_sample
2023-05-15,98.81666666666666,PCU3252123252512P,True
2023-06-14,97.6473361111111,PCU3252123252512P,True
2023-07-14,96.49184263379628,PCU3252123252512P,True
2023-08-13,95.35002249596302,PCU3252123252512P,True
2023-09-12,94.22171389642745,PCU3252123252512P,True
2023-10-12,93.10675694865306,PCU3252123252512P,True
2023-11-11,92.004993658094,PCU3252123252512P,True
2023-12-11,90.91626789980654,PCU3252123252512P,True
2024-01-10,89.8404253963255,PCU3252123252512P,True
2024-02-09,88.7773136958023,PCU3252123252512P,True
2024-03-10,87.72678215040197,PCU3252123252512P,True
2024-04-09,86.68868189495555,PCU3252123252512P,True
2024-05-09,85.66286582586524,PCU3252123252512P,True
2024-06-08,84.64918858025916,PCU3252123252512P,True
2024-07-08,83.64750651539276,PCU3252123252512P,True
2024-08-07,82.65767768829394,PCU3252123252512P,True
2024-09-06,81.67956183564912,PCU3252123252512P,True
2024-10-06,80.71302035392728,PCU3252123252512P,True
2024-11-05,79.75791627973913,PCU3252123252512P,True
2024-12-05,78.81411427042889,PCU3252123252512P,True
2025-01-04,77.88148058489547,PCU3252123252512P,True
2025-02-03,76.95988306464088,PCU3252123252512P,True
2025-03-05,76.04919111504262,PCU3252123252512P,True
2025-04-04,75.14927568684794,PCU3252123252512P,True
