date,value,series_id,is_sample
2023-05-15,100.49999999999999,PCU325180325180,True
2023-06-14,101.00249999999997,PCU325180325180,True
2023-07-14,101.50751249999996,PCU325180325180,True
2023-08-13,102.01505006249995,PCU325180325180,True
2023-09-12,102.52512531281243,PCU325180325180,True
2023-10-12,103.03775093937648,PCU325180325180,True
2023-11-11,103.55293969407334,PCU325180325180,True
2023-12-11,104.0707043925437,PCU325180325180,True
2024-01-10,104.59105791450641,PCU325180325180,True
2024-02-09,105.11401320407893,PCU325180325180,True
2024-03-10,105.63958327009931,PCU325180325180,True
2024-04-09,106.16778118644979,PCU325180325180,True
2024-05-09,106.69862009238203,PCU325180325180,True
2024-06-08,107.23211319284393,PCU325180325180,True
2024-07-08,107.76827375880814,PCU325180325180,True
2024-08-07,108.30711512760216,PCU325180325180,True
2024-09-06,108.84865070324015,PCU325180325180,True
2024-10-06,109.39289395675634,PCU325180325180,True
2024-11-05,109.93985842654011,PCU325180325180,True
2024-12-05,110.4895577186728,PCU325180325180,True
2025-01-04,111.04200550726615,PCU325180325180,True
2025-02-03,111.59721553480247,PCU325180325180,True
2025-03-05,112.15520161247647,PCU325180325180,True
2025-04-04,112.71597762053885,PCU325180325180,True
