date,value,series_id,is_sample
2023-05-15,99.16666666666667,WPU3012,True
2023-06-14,98.34027777777779,WPU3012,True
2023-07-14,97.52077546296297,WPU3012,True
2023-08-13,96.70810233410495,WPU3012,True
2023-09-12,95.90220148132074,WPU3012,True
2023-10-12,95.1030164689764,WPU3012,True
2023-11-11,94.31049133173494,WPU3012,True
2023-12-11,93.52457057063715,WPU3012,True
2024-01-10,92.74519914921518,WPU3012,True
2024-02-09,91.97232248963839,WPU3012,True
2024-03-10,91.2058864688914,WPU3012,True
2024-04-09,90.44583741498398,WPU3012,True
2024-05-09,89.69212210319246,WPU3012,True
2024-06-08,88.94468775233253,WPU3012,True
2024-07-08,88.2034820210631,WPU3012,True
2024-08-07,87.4684530042209,WPU3012,True
2024-09-06,86.73954922918573,WPU3012,True
2024-10-06,86.01671965227585,WPU3012,True
2024-11-05,85.29991365517355,WPU3012,True
2024-12-05,84.58908104138044,WPU3012,True
2025-01-04,83.88417203270227,WPU3012,True
2025-02-03,83.18513726576309,WPU3012,True
2025-03-05,82.4919277885484,WPU3012,True
2025-04-04,81.80449505697716,WPU3012,True
