Date,value,source,indicator_id,unit,preferred_direction,country
2023-05-12,303.6779544714068,PPI CHILE - SAMPLE DATA,ppi_chile,,neutral,CHILE
2023-06-11,301.6738862986515,PPI CHILE - SAMPLE DATA,ppi_chile,,neutral,CHILE
2023-07-11,298.1384789941645,PPI CHILE - SAMPLE DATA,ppi_chile,,neutral,CHILE
2023-08-10,298.87418701270786,PPI CHILE - SAMPLE DATA,ppi_chile,,neutral,CHILE
2023-09-09,302.4944984096208,PPI CHILE - SAMPLE DATA,ppi_chile,,neutral,CHILE
2023-10-09,306.622794061976,PPI CHILE - SAMPLE DATA,ppi_chile,,neutral,CHILE
2023-11-08,305.18774176118535,PPI CHILE - SAMPLE DATA,ppi_chile,,neutral,CHILE
2023-12-08,300.43053755827094,PPI CHILE - SAMPLE DATA,ppi_chile,,neutral,CHILE
2024-01-07,303.48619135316716,PPI CHILE - SAMPLE DATA,ppi_chile,,neutral,CHILE
2024-02-06,308.08049453685766,PPI CHILE - SAMPLE DATA,ppi_chile,,neutral,CHILE
2024-03-07,308.8626013452959,PPI CHILE - SAMPLE DATA,ppi_chile,,neutral,CHILE
2024-04-06,307.86170826534845,PPI CHILE - SAMPLE DATA,ppi_chile,,neutral,CHILE
2024-05-06,309.7872506582472,PPI CHILE - SAMPLE DATA,ppi_chile,,neutral,CHILE
2024-06-05,307.5989269573211,PPI CHILE - SAMPLE DATA,ppi_chile,,neutral,CHILE
2024-07-05,306.4345811328601,PPI CHILE - SAMPLE DATA,ppi_chile,,neutral,CHILE
2024-08-04,308.6540185584906,PPI CHILE - SAMPLE DATA,ppi_chile,,neutral,CHILE
2024-09-03,310.87545495027695,PPI CHILE - SAMPLE DATA,ppi_chile,,neutral,CHILE
2024-10-03,309.95204520473845,PPI CHILE - SAMPLE DATA,ppi_chile,,neutral,CHILE
2024-11-02,308.7228093584231,PPI CHILE - SAMPLE DATA,ppi_chile,,neutral,CHILE
2024-12-02,317.13637527007427,PPI CHILE - SAMPLE DATA,ppi_chile,,neutral,CHILE
2025-01-01,309.8907652389418,PPI CHILE - SAMPLE DATA,ppi_chile,,neutral,CHILE
2025-01-31,311.7230126841734,PPI CHILE - SAMPLE DATA,ppi_chile,,neutral,CHILE
2025-03-02,309.98398264110824,PPI CHILE - SAMPLE DATA,ppi_chile,,neutral,CHILE
2025-04-01,317.9791977310769,PPI CHILE - SAMPLE DATA,ppi_chile,,neutral,CHILE
