Date,value,source,indicator_id,unit,preferred_direction,country
2023-05-12,53.970385163135,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA
2023-06-11,55.4946530817505,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA
2023-07-11,55.27145236934303,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA
2023-08-10,54.47324207053067,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA
2023-09-09,55.7007908250895,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA
2023-10-09,53.94276221424032,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA
2023-11-08,53.753478956608824,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA
2023-12-08,53.77237796055061,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA
2024-01-07,53.70672824415471,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA
2024-02-06,53.67767328370415,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA
2024-03-07,54.366244942027336,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA
2024-04-06,51.558053087479045,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA
2024-05-06,54.44681347111483,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA
2024-06-05,53.663916297692445,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA
2024-07-05,54.27930062676636,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA
2024-08-04,54.27624444127019,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA
2024-09-03,54.19859014774527,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA
2024-10-03,54.09998401853744,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA
2024-11-02,53.141087172938335,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA
2024-12-02,51.391069848399425,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA
2025-01-01,53.79547034357589,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA
2025-01-31,53.114323436985515,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA
2025-03-02,54.00347115946781,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA
2025-04-01,53.840844833546505,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA
