Date,value,source,indicator_id,unit,preferred_direction,country
2023-05-12,292.3813357324819,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA
2023-06-11,292.5529856595102,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA
2023-07-11,290.9423574994453,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA
2023-08-10,289.4257191808463,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA
2023-09-09,293.08844533487326,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA
2023-10-09,290.9722487516746,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA
2023-11-08,293.2546190861877,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA
2023-12-08,293.3731713176461,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA
2024-01-07,297.0568387073037,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA
2024-02-06,292.6960109060479,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA
2024-03-07,295.5870541449565,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA
2024-04-06,294.35167241032485,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA
2024-05-06,293.7124777410081,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA
2024-06-05,295.78046331941505,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA
2024-07-05,300.66878043003135,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA
2024-08-04,297.8215101580924,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA
2024-09-03,295.9812033361422,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA
2024-10-03,296.31387731311696,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA
2024-11-02,297.2422315990343,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA
2024-12-02,300.883093488198,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA
2025-01-01,297.5552234557592,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA
2025-01-31,299.64683470824326,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA
2025-03-02,298.3151735786822,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA
2025-04-01,299.93376037432654,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA
