Month,Date,value,source,indicator_id,unit,preferred_direction,country,monthly_change,yoy_change
2023-05,2023-05-12,54.92110848304806,PMI Input Prices PERU - SAMPLE DATA,pmi_input_peru,,down,PERU,,
2023-06,2023-06-11,56.11545046374901,PMI Input Prices PERU - SAMPLE DATA,pmi_input_peru,,down,PERU,2.1746501731107593,
2023-07,2023-07-11,54.697881168660025,PMI Input Prices PERU - SAMPLE DATA,pmi_input_peru,,down,PERU,-2.526165758937904,
2023-08,2023-08-10,54.65310231390555,PMI Input Prices PERU - SAMPLE DATA,pmi_input_peru,,down,PERU,-0.08186579406320726,
2023-09,2023-09-09,54.98350868263747,PMI Input Prices PERU - SAMPLE DATA,pmi_input_peru,,down,PERU,0.6045519005201117,
2023-10,2023-10-09,53.65341557141235,PMI Input Prices PERU - SAMPLE DATA,pmi_input_peru,,down,PERU,-2.4190764523638553,
2023-11,2023-11-08,54.49511804618843,PMI Input Prices PERU - SAMPLE DATA,pmi_input_peru,,down,PERU,1.5687770588542982,
2023-12,2023-12-08,53.88289154490925,PMI Input Prices PERU - SAMPLE DATA,pmi_input_peru,,down,PERU,-1.123452014105697,
2024-01,2024-01-07,55.067060402603644,PMI Input Prices PERU - SAMPLE DATA,pmi_input_peru,,down,PERU,2.1976713270991377,
2024-02,2024-02-06,55.12395291691045,PMI Input Prices PERU - SAMPLE DATA,pmi_input_peru,,down,PERU,0.10331496522757444,
2024-03,2024-03-07,53.352475329097,PMI Input Prices PERU - SAMPLE DATA,pmi_input_peru,,down,PERU,-3.213625827022304,
2024-04,2024-04-06,53.922142073909185,PMI Input Prices PERU - SAMPLE DATA,pmi_input_peru,,down,PERU,1.0677419206855499,
2024-05,2024-05-06,56.02976741920673,PMI Input Prices PERU - SAMPLE DATA,pmi_input_peru,,down,PERU,3.9086454362452727,2.018639038396075
2024-06,2024-06-05,54.52673649555387,PMI Input Prices PERU - SAMPLE DATA,pmi_input_peru,,down,PERU,-2.682557848950884,-2.831152481296506
2024-07,2024-07-05,53.36205814057545,PMI Input Prices PERU - SAMPLE DATA,pmi_input_peru,,down,PERU,-2.135976641612114,-2.4421842300720753
2024-08,2024-08-04,53.02338177511824,PMI Input Prices PERU - SAMPLE DATA,pmi_input_peru,,down,PERU,-0.6346763548081502,-2.9819360105613923
2024-09,2024-09-03,53.516872912825875,PMI Input Prices PERU - SAMPLE DATA,pmi_input_peru,,down,PERU,0.930704759271328,-2.667410292560546
2024-10,2024-10-03,54.22678010079606,PMI Input Prices PERU - SAMPLE DATA,pmi_input_peru,,down,PERU,1.3265109662266017,1.0686449749327975
2024-11,2024-11-02,53.67221104841735,PMI Input Prices PERU - SAMPLE DATA,pmi_input_peru,,down,PERU,-1.0226848272161582,-1.5100563633491104
2024-12,2024-12-02,52.661916075424244,PMI Input Prices PERU - SAMPLE DATA,pmi_input_peru,,down,PERU,-1.882342749177457,-2.2659798583143376
2025-01,2025-01-31,52.93091121522963,PMI Input Prices PERU - SAMPLE DATA,pmi_input_peru,,down,PERU,0.5107963398447657,-3.879177809304335
2025-03,2025-03-02,53.777506063013014,PMI Input Prices PERU - SAMPLE DATA,pmi_input_peru,,down,PERU,1.59943373039797,-2.4425803714166916
