Month,Date,value,source,indicator_id,unit,preferred_direction,country,monthly_change,yoy_change
2023-05,2023-05-12,53.970385163135,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA,,
2023-06,2023-06-11,55.4946530817505,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA,2.824267260661806,
2023-07,2023-07-11,55.27145236934303,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA,-0.4022021942882814,
2023-08,2023-08-10,54.47324207053067,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA,-1.4441637854537337,
2023-09,2023-09-09,55.7007908250895,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA,2.2534894342610023,
2023-10,2023-10-09,53.94276221424032,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA,-3.1562004503126517,
2023-11,2023-11-08,53.753478956608824,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA,-0.35089648705739496,
2023-12,2023-12-08,53.77237796055061,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA,0.03515866192964623,
2024-01,2024-01-07,53.70672824415471,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA,-0.1220881777704852,
2024-02,2024-02-06,53.67767328370415,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA,-0.0540992933296458,
2024-03,2024-03-07,54.366244942027336,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA,1.2827896892696034,
2024-04,2024-04-06,51.558053087479045,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA,-5.16532244877822,
2024-05,2024-05-06,54.44681347111483,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA,5.602927594520279,0.8827587695358075
2024-06,2024-06-05,53.663916297692445,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA,-1.4379118326873774,-3.2989426591443882
2024-07,2024-07-05,54.27930062676636,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA,1.1467376433359044,-1.7950527804964644
2024-08,2024-08-04,54.27624444127019,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA,-0.005630480608409538,-0.3616410952838267
2024-09,2024-09-03,54.19859014774527,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA,-0.14307234099245614,-2.6969108608554726
2024-10,2024-10-03,54.09998401853744,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA,-0.18193486018552862,0.291460425539003
2024-11,2024-11-02,53.141087172938335,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA,-1.772453103258842,-1.1392598126808262
2024-12,2024-12-02,51.391069848399425,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA,-3.293153034005092,-4.428496939261639
2025-01,2025-01-31,53.114323436985515,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA,3.35321602307479,-1.1030364845091345
2025-03,2025-03-02,54.00347115946781,PMI Input Prices CANADA - SAMPLE DATA,pmi_input_canada,,down,CANADA,1.674026260613437,0.6069523059274662
