Month,Date,value,source,indicator_id,unit,preferred_direction,country,monthly_change,yoy_change
2023-05,2023-05-12,297.28357834662853,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU,,
2023-06,2023-06-11,301.32483240353406,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU,1.3593936400326356,
2023-07,2023-07-11,303.9924365425942,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU,0.8852918353200012,
2023-08,2023-08-10,301.2810982914439,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU,-0.8919097731467263,
2023-09,2023-09-09,303.1200965226099,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU,0.61039283300377,
2023-10,2023-10-09,299.3159429086768,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU,-1.2549988132012135,
2023-11,2023-11-08,303.6196671337948,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU,1.4378533209074895,
2023-12,2023-12-08,305.64741339085106,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU,0.667857348042844,
2024-01,2024-01-07,305.6087036645888,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU,-0.012664830313080522,
2024-02,2024-02-06,305.6089674972173,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU,8.633020764925448e-05,
2024-03,2024-03-07,306.5340645109599,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU,0.30270610882878746,
2024-04,2024-04-06,305.0241640292293,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU,-0.4925718399811374,
2024-05,2024-05-06,302.9628834939261,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU,-0.6757761444453059,1.9103998878389428
2024-06,2024-06-05,309.6649499766048,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU,2.2121741136692963,2.767816215658492
2024-07,2024-07-05,308.14611944100693,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU,-0.4904754431241387,1.3663770538681508
2024-08,2024-08-04,310.14479280451195,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU,0.6486122126511562,2.942001527256033
2024-09,2024-09-03,310.09637236105897,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU,-0.015612205839454774,2.3014890528476384
2024-10,2024-10-03,311.5715511269444,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU,0.47571622804019054,4.09453906770576
2024-11,2024-11-02,310.95617692000457,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU,-0.19750654535501955,2.4163486691976432
2024-12,2024-12-02,312.51829787145374,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU,0.5023604827284256,2.247977303120985
2025-01,2025-01-31,312.1579885639959,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU,-0.11529222765894742,2.1430295737241423
2025-03,2025-03-02,316.703359199595,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU,1.456112225898476,3.6302572510339415
