Date,value,monthly_change,yoy_change,source,indicator_id,unit,preferred_direction,description
2023-05-01 19:13:42.009887,0.5,,,NY Fed Supply Chain Pressure Index (Sample Data),supply_chain,,down,Sample data for NY Fed Supply Chain Pressure Index
2023-06-01 19:13:42.009887,0.5192843014084367,3.8568602816873465,,NY Fed Supply Chain Pressure Index (Sample Data),supply_chain,,down,Sample data for NY Fed Supply Chain Pressure Index
2023-07-01 19:13:42.009887,0.5225380591117369,0.6265850314510102,,NY Fed Supply Chain Pressure Index (Sample Data),supply_chain,,down,Sample data for NY Fed Supply Chain Pressure Index
2023-08-01 19:13:42.009887,0.5340666134873202,2.2062611851050073,,NY Fed Supply Chain Pressure Index (Sample Data),supply_chain,,down,Sample data for NY Fed Supply Chain Pressure Index
2023-09-01 19:13:42.009887,0.5432350514981237,1.7167218057193123,,NY Fed Supply Chain Pressure Index (Sample Data),supply_chain,,down,Sample data for NY Fed Supply Chain Pressure Index
2023-10-01 19:13:42.009887,0.5459095789076934,0.4923333651232431,,NY Fed Supply Chain Pressure Index (Sample Data),supply_chain,,down,Sample data for NY Fed Supply Chain Pressure Index
2023-11-01 19:13:42.009887,0.5547935647897114,1.627373144796973,,NY Fed Supply Chain Pressure Index (Sample Data),supply_chain,,down,Sample data for NY Fed Supply Chain Pressure Index
2023-12-01 19:13:42.009887,0.5623403199150522,1.3602816622794167,,NY Fed Supply Chain Pressure Index (Sample Data),supply_chain,,down,Sample data for NY Fed Supply Chain Pressure Index
2024-01-01 19:13:42.009887,0.5542326013420424,-1.4417814774929316,,NY Fed Supply Chain Pressure Index (Sample Data),supply_chain,,down,Sample data for NY Fed Supply Chain Pressure Index
2024-02-01 19:13:42.009887,0.5434116940283643,-1.9524126309920953,,NY Fed Supply Chain Pressure Index (Sample Data),supply_chain,,down,Sample data for NY Fed Supply Chain Pressure Index
2024-03-01 19:13:42.009887,0.5422200631977205,-0.2192869317570456,,NY Fed Supply Chain Pressure Index (Sample Data),supply_chain,,down,Sample data for NY Fed Supply Chain Pressure Index
2024-04-01 19:13:42.009887,0.5343241303336431,-1.4562229249709957,,NY Fed Supply Chain Pressure Index (Sample Data),supply_chain,,down,Sample data for NY Fed Supply Chain Pressure Index
2024-05-01 19:13:42.009887,0.5360247916394197,0.3182827069244887,7.204958327883948,NY Fed Supply Chain Pressure Index (Sample Data),supply_chain,,down,Sample data for NY Fed Supply Chain Pressure Index
2024-06-01 19:13:42.009887,0.5340318344354064,-0.3718031768489616,2.8399728216259135,NY Fed Supply Chain Pressure Index (Sample Data),supply_chain,,down,Sample data for NY Fed Supply Chain Pressure Index
2024-07-01 19:13:42.009887,0.5386250449327605,0.8601005035983045,3.0786247126898036,NY Fed Supply Chain Pressure Index (Sample Data),supply_chain,,down,Sample data for NY Fed Supply Chain Pressure Index
2024-08-01 19:13:42.009887,0.5405053727612755,0.34909773435243263,1.2056097706448776,NY Fed Supply Chain Pressure Index (Sample Data),supply_chain,,down,Sample data for NY Fed Supply Chain Pressure Index
2024-09-01 19:13:42.009887,0.5404181908542468,-0.016129702205058827,-0.5185344053386443,NY Fed Supply Chain Pressure Index (Sample Data),supply_chain,,down,Sample data for NY Fed Supply Chain Pressure Index
2024-10-01 19:13:42.009887,0.5426785813006009,0.41826690600126337,-0.5918558186059797,NY Fed Supply Chain Pressure Index (Sample Data),supply_chain,,down,Sample data for NY Fed Supply Chain Pressure Index
2024-11-01 19:13:42.009887,0.5398146970476643,-0.5277312117373256,-2.6998993306140306,NY Fed Supply Chain Pressure Index (Sample Data),supply_chain,,down,Sample data for NY Fed Supply Chain Pressure Index
2024-12-01 19:13:42.009887,0.5396763270437279,-0.02563287081531751,-4.030298392039167,NY Fed Supply Chain Pressure Index (Sample Data),supply_chain,,down,Sample data for NY Fed Supply Chain Pressure Index
2025-01-01 19:13:42.009887,0.5370605627777247,-0.4846913112405704,-3.0983450852109073,NY Fed Supply Chain Pressure Index (Sample Data),supply_chain,,down,Sample data for NY Fed Supply Chain Pressure Index
2025-02-01 19:13:42.009887,0.5335054044828718,-0.6619659943871814,-1.822980560476395,NY Fed Supply Chain Pressure Index (Sample Data),supply_chain,,down,Sample data for NY Fed Supply Chain Pressure Index
2025-03-01 19:13:42.009887,0.535033811377563,0.2864838634901501,-1.325338604731241,NY Fed Supply Chain Pressure Index (Sample Data),supply_chain,,down,Sample data for NY Fed Supply Chain Pressure Index
2025-04-01 19:13:42.009887,0.5362022031276994,0.2183771801501866,0.3514856783435105,NY Fed Supply Chain Pressure Index (Sample Data),supply_chain,,down,Sample data for NY Fed Supply Chain Pressure Index
