Month,Date,value,source,indicator_id,unit,preferred_direction,country,is_latest,monthly_change,yoy_change,last_updated_date
2023-05,2023-05-12,60.36608530786845,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US,False,,,Apr-25
2023-06,2023-06-11,58.60975303078891,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US,False,-2.9094685668653364,,Apr-25
2023-07,2023-07-11,61.64525819278546,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US,False,5.179180946901352,,Apr-25
2023-08,2023-08-10,61.61614948117038,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US,False,-0.04721970913650342,,Apr-25
2023-09,2023-09-09,57.67963397458721,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US,False,-6.3887723262975875,,Apr-25
2023-10,2023-10-09,58.0893806359402,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US,False,0.7103836018333975,,Apr-25
2023-11,2023-11-08,57.92957818034436,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US,False,-0.2750975373577602,,Apr-25
2023-12,2023-12-08,57.81522678532297,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US,False,-0.19739725130639707,,Apr-25
2024-01,2024-01-07,58.39921559627644,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US,False,1.0100951659705704,,Apr-25
2024-02,2024-02-06,59.90693265923469,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US,False,2.581741976435703,,Apr-25
2024-03,2024-03-07,57.258383254174376,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US,False,-4.421106685808662,,Apr-25
2024-04,2024-04-06,56.718374813731735,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US,False,-0.9431080826112437,,Apr-25
2024-05,2024-05-06,58.93007422222746,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US,False,3.899440729321224,-2.37883751831397,Apr-25
2024-06,2024-06-05,56.95065062926849,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US,False,-3.3589361952854446,-2.8307616321960327,Apr-25
2024-07,2024-07-05,57.474084415854996,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US,False,0.9191006262490475,-6.766414642770746,Apr-25
2024-08,2024-08-04,57.10826363965761,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US,False,-0.636496918420626,-7.3160784623361845,Apr-25
2024-09,2024-09-03,56.36989766737933,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US,False,-1.292923169468485,-2.2707084233317687,Apr-25
2024-10,2024-10-03,56.08896938499676,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US,False,-0.4983657838803168,-3.443678051037402,Apr-25
2024-11,2024-11-02,57.06332513873942,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US,False,1.7371610932171988,-1.4953553414598475,Apr-25
2024-12,2024-12-02,55.8158716300772,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US,False,-2.186086257029818,-3.4581809436979194,Apr-25
2025-01,2025-01-31,56.27714195440543,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US,False,0.8264142632857574,-3.633736549718858,Apr-25
2025-03,2025-03-02,55.44464704344386,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US,False,-1.4792771666266247,-7.448696532625709,Apr-25
2025-04,2025-04-01,57.544590919427975,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US,True,3.787460084899985,0.49985285819738046,Apr-25
