Date,value,monthly_change,yoy_change,source,indicator_id,unit,preferred_direction,description
2023-05-01 17:12:03.329027,200.0,,,Komatsu Heavy Equipment Cost Index (Sample Data),komatsu_equipment,,neutral,Sample data for Komatsu Heavy Equipment Cost Index
2023-06-01 17:12:03.329027,198.5655228808413,-0.7172385595793473,,Komatsu Heavy Equipment Cost Index (Sample Data),komatsu_equipment,,neutral,Sample data for Komatsu Heavy Equipment Cost Index
2023-07-01 17:12:03.329027,200.5575220435734,1.003194881886671,,Komatsu Heavy Equipment Cost Index (Sample Data),komatsu_equipment,,neutral,Sample data for Komatsu Heavy Equipment Cost Index
2023-08-01 17:12:03.329027,198.46924225292992,-1.0412373314972467,,Komatsu Heavy Equipment Cost Index (Sample Data),komatsu_equipment,,neutral,Sample data for Komatsu Heavy Equipment Cost Index
2023-09-01 17:12:03.329027,201.54525840036112,1.549870454743374,,Komatsu Heavy Equipment Cost Index (Sample Data),komatsu_equipment,,neutral,Sample data for Komatsu Heavy Equipment Cost Index
2023-10-01 17:12:03.329027,201.5290569907533,-0.008038596261905617,,Komatsu Heavy Equipment Cost Index (Sample Data),komatsu_equipment,,neutral,Sample data for Komatsu Heavy Equipment Cost Index
2023-11-01 17:12:03.329027,203.78921153560955,1.1215030619430522,,Komatsu Heavy Equipment Cost Index (Sample Data),komatsu_equipment,,neutral,Sample data for Komatsu Heavy Equipment Cost Index
2023-12-01 17:12:03.329027,203.74649241094144,-0.020962407355229473,,Komatsu Heavy Equipment Cost Index (Sample Data),komatsu_equipment,,neutral,Sample data for Komatsu Heavy Equipment Cost Index
2024-01-01 17:12:03.329027,198.07176695676853,-2.785189274683275,,Komatsu Heavy Equipment Cost Index (Sample Data),komatsu_equipment,,neutral,Sample data for Komatsu Heavy Equipment Cost Index
2024-02-01 17:12:03.329027,198.45665964311112,0.1943198125892387,,Komatsu Heavy Equipment Cost Index (Sample Data),komatsu_equipment,,neutral,Sample data for Komatsu Heavy Equipment Cost Index
2024-03-01 17:12:03.329027,195.32770362584856,-1.5766445040894195,,Komatsu Heavy Equipment Cost Index (Sample Data),komatsu_equipment,,neutral,Sample data for Komatsu Heavy Equipment Cost Index
2024-04-01 17:12:03.329027,195.6368698832242,0.15828080279274293,,Komatsu Heavy Equipment Cost Index (Sample Data),komatsu_equipment,,neutral,Sample data for Komatsu Heavy Equipment Cost Index
2024-05-01 17:12:03.329027,197.50895027404692,0.9569159391786375,-1.2455248629765325,Komatsu Heavy Equipment Cost Index (Sample Data),komatsu_equipment,,neutral,Sample data for Komatsu Heavy Equipment Cost Index
2024-06-01 17:12:03.329027,199.92158566398518,1.2215321820052694,0.6829296261857243,Komatsu Heavy Equipment Cost Index (Sample Data),komatsu_equipment,,neutral,Sample data for Komatsu Heavy Equipment Cost Index
2024-07-01 17:12:03.329027,200.29356509044553,0.18606266313110353,-0.13161159473766837,Komatsu Heavy Equipment Cost Index (Sample Data),komatsu_equipment,,neutral,Sample data for Komatsu Heavy Equipment Cost Index
2024-08-01 17:12:03.329027,203.36718259241889,1.5345562902060461,2.4678586383914514,Komatsu Heavy Equipment Cost Index (Sample Data),komatsu_equipment,,neutral,Sample data for Komatsu Heavy Equipment Cost Index
2024-09-01 17:12:03.329027,206.8370915083176,1.7062285427108304,2.6256301686068406,Komatsu Heavy Equipment Cost Index (Sample Data),komatsu_equipment,,neutral,Sample data for Komatsu Heavy Equipment Cost Index
2024-10-01 17:12:03.329027,211.29213679466326,2.153890897352184,4.8445023014015876,Komatsu Heavy Equipment Cost Index (Sample Data),komatsu_equipment,,neutral,Sample data for Komatsu Heavy Equipment Cost Index
2024-11-01 17:12:03.329027,213.0225635988948,0.818973592904304,4.530834578390741,Komatsu Heavy Equipment Cost Index (Sample Data),komatsu_equipment,,neutral,Sample data for Komatsu Heavy Equipment Cost Index
2024-12-01 17:12:03.329027,212.85641930389943,-0.07799375436501332,4.471206735958888,Komatsu Heavy Equipment Cost Index (Sample Data),komatsu_equipment,,neutral,Sample data for Komatsu Heavy Equipment Cost Index
2025-01-01 17:12:03.329027,207.80361557749407,-2.373808477531214,4.913294191417816,Komatsu Heavy Equipment Cost Index (Sample Data),komatsu_equipment,,neutral,Sample data for Komatsu Heavy Equipment Cost Index
2025-02-01 17:12:03.329027,201.72232364029395,-2.9264610821616244,1.6455300633677616,Komatsu Heavy Equipment Cost Index (Sample Data),komatsu_equipment,,neutral,Sample data for Komatsu Heavy Equipment Cost Index
2025-03-01 17:12:03.329027,198.8202426872681,-1.4386513602732354,1.788040813764713,Komatsu Heavy Equipment Cost Index (Sample Data),komatsu_equipment,,neutral,Sample data for Komatsu Heavy Equipment Cost Index
2025-04-01 17:12:03.329027,197.86358419379937,-0.4811675514215574,1.1381874551071647,Komatsu Heavy Equipment Cost Index (Sample Data),komatsu_equipment,,neutral,Sample data for Komatsu Heavy Equipment Cost Index
