Month,Date,value,source,indicator_id,unit,preferred_direction,description,is_latest,monthly_change,yoy_change,last_updated_date
2020-01,2020-01-01,393.2,BLS PPI Carbon Steel Scrap (WPU101211),ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap,False,,,Mar-25
2020-02,2020-02-01,364.1,BLS PPI Carbon Steel Scrap (WPU101211),ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap,False,-7.4008138351983614,,Mar-25
2020-03,2020-03-01,369.7,BLS PPI Carbon Steel Scrap (WPU101211),ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap,False,1.5380390002746491,,Mar-25
2020-04,2020-04-01,323.7,BLS PPI Carbon Steel Scrap (WPU101211),ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap,False,-12.442520962942927,,Mar-25
2020-05,2020-05-01,342.9,BLS PPI Carbon Steel Scrap (WPU101211),ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap,False,5.9314179796107425,,Mar-25
2020-06,2020-06-01,349.5,BLS PPI Carbon Steel Scrap (WPU101211),ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap,False,1.9247594050743722,,Mar-25
2020-07,2020-07-01,326.2,BLS PPI Carbon Steel Scrap (WPU101211),ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap,False,-6.666666666666665,,Mar-25
2020-08,2020-08-01,342.4,BLS PPI Carbon Steel Scrap (WPU101211),ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap,False,4.966278356836296,,Mar-25
2020-09,2020-09-01,386.2,BLS PPI Carbon Steel Scrap (WPU101211),ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap,False,12.792056074766368,,Mar-25
2020-10,2020-10-01,387.3,BLS PPI Carbon Steel Scrap (WPU101211),ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap,False,0.2848265147592066,,Mar-25
2020-11,2020-11-01,393.3,BLS PPI Carbon Steel Scrap (WPU101211),ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap,False,1.549186676994574,,Mar-25
2020-12,2020-12-01,494.2,BLS PPI Carbon Steel Scrap (WPU101211),ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap,False,25.65471650139841,,Mar-25
2021-01,2021-01-01,608.2,BLS PPI Carbon Steel Scrap (WPU101211),ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap,False,23.06758397409956,54.67955239064091,Mar-25
