Month,Date,value,monthly_change,yoy_change,source,indicator_id,unit,preferred_direction,description,yearly_adjustment,is_latest,last_updated_date
2020-01,2020-01-01,172.835,,,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2020-02,2020-02-01,171.41000000000003,-0.8244857812364281,,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2020-03,2020-03-01,168.86,-1.4876611632926973,,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2020-04,2020-04-01,155.41000000000003,-7.965178254175054,,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2020-05,2020-05-01,150.065,-3.439289621002528,,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2020-06,2020-06-01,154.565,2.9987005630893293,,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2020-07,2020-07-01,159.14,2.9599197748519934,,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2020-08,2020-08-01,162.1875,1.9149805202965942,,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2020-09,2020-09-01,162.9625,0.477842003853568,,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
2020-10,2020-10-01,163.9375,0.59829715425328,,Explosives & Accessories (Composite),explosives,Index,down,Composite cost index for Explosives & Accessories based on weighted BLS PPI components,2.280083938630062,False,Mar-25
